ID,License Plate Number,Enable or not,Start time,Expiration time,Time,Alarm,Blacklist or not,Unique code
195,BGQ7887,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BGQ7887
196,WJY9204,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WJY9204
197,VJ7212,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VJ7212
198,VC6900,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VC6900
199,ST888W,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,ST888W
200,BDS8686,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BDS8686
201,BMM8686,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BMM8686
202,WXS7373,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WXS7373
203,WA7732N,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WA7732N
204,WXL9889,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WXL9889
205,WB9889G,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WB9889G
206,WVY2316,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WVY2316
207,WA6653K,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WA6653K
208,WRW3856,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WRW3856
209,VDA9372,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VDA9372
210,VGA9372,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VGA9372
211,BNM200,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,BNM200
212,JFD1507,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,JFD1507
213,VJ6962,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VJ6962
214,RAA1492,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,RAA1492
215,NCD8898,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,NCD8898
216,VCM6628,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VCM6628
217,WB6822H,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WB6822H
218,WQC7623,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WQC7623
219,WWJ666,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WWJ666
220,PATRIOT3468,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,PATRIOT3468
221,WRJ8233,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WRJ8233
222,VM7521,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VM7521
223,WVB5543,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WVB5543
224,VX992,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,VX992
225,WVK9545,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WVK9545
226,WC7883M,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WC7883M
227,WB8981N,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WB8981N
228,WHG887,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WHG887
229,WYP2119,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WYP2119
230,NCE9888,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,NCE9888
231,NCU2213,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,NCU2213
232,JFV5082,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,JFV5082
233,WB2636M,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WB2636M
234,AKK1568,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,AKK1568
235,WC3771G,yes,1/7/2023 0:00,31/8/2023 0:00,no,no,no,WC3771G
